interview__key,fecha,hora_acc,cve_entrevistador
04-18-54-61,11/11/2020,23:54:57,E110104
04-18-54-61,11/11/2020,23:55:42,E110104
04-18-54-61,12/11/2020,00:00:41,E110104
04-18-54-61,12/11/2020,00:00:43,E110104
04-18-54-61,12/11/2020,00:05:25,E110104
04-18-54-61,12/11/2020,00:11:14,E110104
04-18-54-61,12/11/2020,00:11:40,E110104
04-18-54-61,12/11/2020,00:11:40,E110104
04-18-54-61,14/11/2020,00:54:07,admin
47-45-29-99,11/11/2020,17:22:47,E050103
47-45-29-99,11/11/2020,17:22:47,E050103
47-45-29-99,11/11/2020,17:22:47,E050103
47-45-29-99,11/11/2020,17:22:47,E050103
47-45-29-99,11/11/2020,17:22:51,E050103
47-45-29-99,11/11/2020,17:26:18,E050103
47-45-29-99,11/11/2020,17:26:32,E050103
47-45-29-99,11/11/2020,17:27:32,E050103
47-45-29-99,11/11/2020,17:28:02,E050103
47-45-29-99,11/11/2020,17:37:18,E050103
47-45-29-99,11/11/2020,17:37:18,E050103
47-45-29-99,11/11/2020,17:39:20,E050103
47-45-29-99,11/11/2020,17:39:20,E050103
47-45-29-99,11/11/2020,17:43:19,E050103
47-45-29-99,11/11/2020,17:43:26,E050103
47-45-29-99,11/11/2020,17:46:30,E050103
47-45-29-99,11/11/2020,17:46:30,E050103
47-45-29-99,11/11/2020,17:52:55,E050103
47-45-29-99,11/11/2020,17:52:56,E050103
47-45-29-99,11/11/2020,17:59:05,E050103
47-45-29-99,11/11/2020,17:59:05,E050103
47-45-29-99,11/11/2020,17:59:19,E050103
47-45-29-99,11/11/2020,17:59:20,E050103
47-45-29-99,11/11/2020,17:59:42,E050103
47-45-29-99,11/11/2020,17:59:42,E050103
47-45-29-99,14/11/2020,00:54:07,admin
59-44-86-05,17/11/2020,18:28:06,E110102
59-44-86-05,17/11/2020,18:28:06,E110102
59-44-86-05,17/11/2020,18:28:06,E110102
59-44-86-05,17/11/2020,18:28:06,E110102
59-44-86-05,17/11/2020,18:28:07,E110102
59-44-86-05,17/11/2020,18:29:35,E110102
59-44-86-05,17/11/2020,18:29:35,E110102
59-44-86-05,17/11/2020,18:34:44,E110102
59-44-86-05,17/11/2020,18:34:51,E110102
59-44-86-05,17/11/2020,18:36:32,E110102
59-44-86-05,17/11/2020,18:36:32,E110102
59-44-86-05,17/11/2020,19:37:03,E110102
59-44-86-05,17/11/2020,19:37:04,E110102
59-44-86-05,17/11/2020,19:38:22,E110102
59-44-86-05,17/11/2020,19:38:22,E110102
59-44-86-05,17/11/2020,19:40:10,E110102
59-44-86-05,17/11/2020,19:40:11,E110102
59-44-86-05,17/11/2020,19:41:13,E110102
59-44-86-05,17/11/2020,19:41:13,E110102
59-44-86-05,17/11/2020,19:41:16,E110102
59-44-86-05,17/11/2020,19:41:16,E110102
59-44-86-05,17/11/2020,22:27:36,admin
42-53-88-38,11/11/2020,18:33:13,E050103
42-53-88-38,11/11/2020,18:33:13,E050103
42-53-88-38,11/11/2020,18:33:13,E050103
42-53-88-38,11/11/2020,18:33:13,E050103
42-53-88-38,11/11/2020,18:33:14,E050103
42-53-88-38,11/11/2020,18:37:18,E050103
42-53-88-38,11/11/2020,18:45:38,E050103
42-53-88-38,11/11/2020,18:50:58,E050103
42-53-88-38,11/11/2020,18:51:59,E050103
42-53-88-38,11/11/2020,18:54:59,E050103
42-53-88-38,11/11/2020,18:55:43,E050103
42-53-88-38,11/11/2020,18:59:20,E050103
42-53-88-38,11/11/2020,18:59:20,E050103
42-53-88-38,14/11/2020,00:54:07,admin
68-55-62-58,18/11/2020,15:40:58,E110106
68-55-62-58,18/11/2020,15:40:58,E110106
68-55-62-58,18/11/2020,15:40:58,E110106
68-55-62-58,18/11/2020,15:40:58,E110106
68-55-62-58,18/11/2020,15:41:01,E110106
68-55-62-58,18/11/2020,15:50:22,E110106
68-55-62-58,18/11/2020,15:50:22,E110106
68-55-62-58,18/11/2020,20:59:58,admin
99-55-56-30,18/11/2020,19:50:15,E300108
99-55-56-30,18/11/2020,19:50:15,E300108
99-55-56-30,18/11/2020,19:50:15,E300108
99-55-56-30,18/11/2020,19:50:15,E300108
99-55-56-30,18/11/2020,19:50:17,E300108
99-55-56-30,18/11/2020,19:51:59,E300108
99-55-56-30,18/11/2020,19:52:49,E300108
99-55-56-30,18/11/2020,19:54:28,E300108
99-55-56-30,18/11/2020,19:54:28,E300108
99-55-56-30,18/11/2020,19:55:32,E300108
99-55-56-30,18/11/2020,19:55:44,E300108
99-55-56-30,18/11/2020,19:58:30,E300108
99-55-56-30,18/11/2020,19:58:37,E300108
99-55-56-30,18/11/2020,20:00:38,E300108
99-55-56-30,18/11/2020,20:00:46,E300108
99-55-56-30,18/11/2020,20:02:27,E300108
99-55-56-30,18/11/2020,20:02:27,E300108
99-55-56-30,18/11/2020,20:59:58,admin
25-83-35-42,18/11/2020,19:31:30,E300109
25-83-35-42,18/11/2020,19:31:30,E300109
25-83-35-42,18/11/2020,19:31:30,E300109
25-83-35-42,18/11/2020,19:31:30,E300109
25-83-35-42,18/11/2020,19:31:31,E300109
25-83-35-42,18/11/2020,19:37:00,E300109
25-83-35-42,18/11/2020,19:37:12,E300109
25-83-35-42,18/11/2020,19:38:19,E300109
25-83-35-42,18/11/2020,19:38:19,E300109
25-83-35-42,18/11/2020,19:40:04,E300109
25-83-35-42,18/11/2020,19:40:23,E300109
25-83-35-42,18/11/2020,19:41:38,E300109
25-83-35-42,18/11/2020,19:41:38,E300109
25-83-35-42,18/11/2020,20:59:58,admin
75-87-47-50,18/11/2020,18:36:53,E110106
75-87-47-50,18/11/2020,18:36:53,E110106
75-87-47-50,18/11/2020,18:36:53,E110106
75-87-47-50,18/11/2020,18:36:53,E110106
75-87-47-50,18/11/2020,18:36:57,E110106
75-87-47-50,18/11/2020,18:49:11,E110106
75-87-47-50,18/11/2020,18:49:11,E110106
75-87-47-50,18/11/2020,18:54:42,E110106
75-87-47-50,18/11/2020,18:54:42,E110106
75-87-47-50,18/11/2020,20:59:58,admin
89-64-98-87,18/11/2020,18:48:08,E300109
89-64-98-87,18/11/2020,18:48:08,E300109
89-64-98-87,18/11/2020,18:48:08,E300109
89-64-98-87,18/11/2020,18:48:08,E300109
89-64-98-87,18/11/2020,18:48:08,E300109
89-64-98-87,18/11/2020,18:52:16,E300109
89-64-98-87,18/11/2020,18:52:16,E300109
89-64-98-87,18/11/2020,18:53:35,E300109
89-64-98-87,18/11/2020,19:09:44,E300109
89-64-98-87,18/11/2020,19:13:04,E300109
89-64-98-87,18/11/2020,19:22:45,E300109
89-64-98-87,18/11/2020,19:26:03,E300109
89-64-98-87,18/11/2020,19:28:23,E300109
89-64-98-87,18/11/2020,19:29:25,E300109
89-64-98-87,18/11/2020,19:29:25,E300109
89-64-98-87,18/11/2020,19:30:43,E300109
89-64-98-87,18/11/2020,19:30:45,E300109
89-64-98-87,18/11/2020,19:31:03,E300109
89-64-98-87,18/11/2020,19:31:03,E300109
89-64-98-87,18/11/2020,20:59:58,admin
74-77-62-54,19/11/2020,01:36:31,E300108
74-77-62-54,19/11/2020,01:36:31,E300108
74-77-62-54,19/11/2020,01:36:31,E300108
74-77-62-54,19/11/2020,01:36:31,E300108
74-77-62-54,19/11/2020,01:36:36,E300108
74-77-62-54,19/11/2020,01:39:00,E300108
74-77-62-54,19/11/2020,01:39:47,E300108
74-77-62-54,19/11/2020,01:40:52,E300108
74-77-62-54,19/11/2020,01:40:53,E300108
74-77-62-54,19/11/2020,01:42:05,E300108
74-77-62-54,19/11/2020,01:42:05,E300108
74-77-62-54,19/11/2020,01:43:23,E300108
74-77-62-54,19/11/2020,01:43:23,E300108
74-77-62-54,19/11/2020,01:47:09,E300108
74-77-62-54,19/11/2020,01:47:09,E300108
74-77-62-54,19/11/2020,02:01:12,admin
44-13-89-72,18/11/2020,18:12:08,E300113
44-13-89-72,18/11/2020,18:12:08,E300113
44-13-89-72,18/11/2020,18:12:08,E300113
44-13-89-72,18/11/2020,18:12:08,E300113
44-13-89-72,18/11/2020,18:12:14,E300113
44-13-89-72,18/11/2020,18:14:01,E300113
44-13-89-72,18/11/2020,18:14:54,E300113
44-13-89-72,18/11/2020,18:16:33,E300113
44-13-89-72,18/11/2020,18:16:33,E300113
44-13-89-72,18/11/2020,18:16:41,E300113
44-13-89-72,18/11/2020,18:16:41,E300113
44-13-89-72,18/11/2020,18:31:08,E300113
44-13-89-72,18/11/2020,18:31:08,E300113
44-13-89-72,18/11/2020,18:31:13,E300113
44-13-89-72,18/11/2020,18:31:14,E300113
44-13-89-72,18/11/2020,18:38:12,E300113
44-13-89-72,18/11/2020,18:38:32,E300113
44-13-89-72,18/11/2020,18:39:40,E300113
44-13-89-72,18/11/2020,18:39:40,E300113
44-13-89-72,18/11/2020,18:41:22,E300113
44-13-89-72,18/11/2020,18:41:34,E300113
44-13-89-72,18/11/2020,18:44:34,E300113
44-13-89-72,18/11/2020,18:44:51,E300113
44-13-89-72,18/11/2020,18:44:53,E300113
44-13-89-72,18/11/2020,18:44:53,E300113
44-13-89-72,18/11/2020,18:45:10,E300113
44-13-89-72,18/11/2020,18:45:11,E300113
44-13-89-72,18/11/2020,18:45:14,E300113
44-13-89-72,18/11/2020,18:45:14,E300113
44-13-89-72,18/11/2020,18:45:18,E300113
44-13-89-72,18/11/2020,18:45:19,E300113
44-13-89-72,18/11/2020,18:47:08,E300113
44-13-89-72,18/11/2020,18:47:08,E300113
44-13-89-72,19/11/2020,02:01:12,admin
69-67-80-58,19/11/2020,00:51:31,E110103
69-67-80-58,19/11/2020,00:51:31,E110103
69-67-80-58,19/11/2020,00:51:31,E110103
69-67-80-58,19/11/2020,00:51:31,E110103
69-67-80-58,19/11/2020,00:51:31,E110103
69-67-80-58,19/11/2020,01:15:50,E110103
69-67-80-58,19/11/2020,01:15:50,E110103
69-67-80-58,19/11/2020,01:20:33,E110103
69-67-80-58,19/11/2020,01:20:33,E110103
69-67-80-58,19/11/2020,01:22:08,E110103
69-67-80-58,19/11/2020,01:22:08,E110103
69-67-80-58,19/11/2020,01:22:13,E110103
69-67-80-58,19/11/2020,01:22:13,E110103
69-67-80-58,19/11/2020,01:22:51,E110103
69-67-80-58,19/11/2020,01:22:51,E110103
69-67-80-58,19/11/2020,01:22:56,E110103
69-67-80-58,19/11/2020,01:22:57,E110103
69-67-80-58,19/11/2020,01:24:06,E110103
69-67-80-58,19/11/2020,01:24:06,E110103
69-67-80-58,19/11/2020,01:24:13,E110103
69-67-80-58,19/11/2020,01:24:13,E110103
69-67-80-58,19/11/2020,02:01:12,admin
89-78-23-85,18/11/2020,19:27:23,E300113
89-78-23-85,18/11/2020,19:27:23,E300113
89-78-23-85,18/11/2020,19:27:23,E300113
89-78-23-85,18/11/2020,19:27:23,E300113
89-78-23-85,18/11/2020,19:27:30,E300113
89-78-23-85,18/11/2020,19:34:35,E300113
89-78-23-85,18/11/2020,19:34:52,E300113
89-78-23-85,18/11/2020,19:37:44,E300113
89-78-23-85,18/11/2020,19:37:48,E300113
89-78-23-85,18/11/2020,19:44:18,E300113
89-78-23-85,18/11/2020,19:44:18,E300113
89-78-23-85,19/11/2020,01:27:16,E300113
89-78-23-85,19/11/2020,01:27:16,E300113
89-78-23-85,19/11/2020,01:28:54,E300113
89-78-23-85,19/11/2020,01:28:55,E300113
89-78-23-85,19/11/2020,01:29:35,E300113
89-78-23-85,19/11/2020,01:29:35,E300113
89-78-23-85,19/11/2020,02:01:12,admin
41-48-62-44,18/11/2020,23:59:15,E300108
