interview__key,fecha,hora_acc,cve_entrevistador
00-52-44-33,18/11/2020,20:22:04,E300109
00-52-44-33,18/11/2020,20:22:29,E300109
00-52-44-33,18/11/2020,20:31:19,E300109
00-52-44-33,18/11/2020,20:31:19,E300109
00-52-44-33,18/11/2020,20:59:58,admin
75-80-02-25,16/11/2020,16:46:38,E110101
75-80-02-25,16/11/2020,16:46:38,E110101
75-80-02-25,16/11/2020,16:46:38,E110101
75-80-02-25,16/11/2020,16:46:38,E110101
75-80-02-25,16/11/2020,16:46:39,E110101
75-80-02-25,16/11/2020,17:02:26,E110101
75-80-02-25,16/11/2020,17:02:26,E110101
75-80-02-25,18/11/2020,18:15:09,admin
12-36-13-35,18/11/2020,21:52:02,E140104
12-36-13-35,18/11/2020,21:52:02,E140104
12-36-13-35,18/11/2020,21:52:02,E140104
12-36-13-35,18/11/2020,21:52:02,E140104
12-36-13-35,18/11/2020,21:52:03,E140104
12-36-13-35,18/11/2020,22:01:26,E140104
12-36-13-35,18/11/2020,22:01:26,E140104
12-36-13-35,18/11/2020,23:14:37,admin
46-14-89-64,18/11/2020,22:28:26,E140101
46-14-89-64,18/11/2020,22:28:26,E140101
46-14-89-64,18/11/2020,22:28:26,E140101
46-14-89-64,18/11/2020,22:28:26,E140101
46-14-89-64,18/11/2020,22:28:31,E140101
46-14-89-64,18/11/2020,22:29:02,E140101
46-14-89-64,18/11/2020,22:29:02,E140101
46-14-89-64,18/11/2020,22:29:12,E140101
46-14-89-64,18/11/2020,22:29:12,E140101
46-14-89-64,18/11/2020,22:30:38,E140101
46-14-89-64,18/11/2020,22:30:58,E140101
46-14-89-64,18/11/2020,22:31:58,E140101
46-14-89-64,18/11/2020,22:31:58,E140101
46-14-89-64,18/11/2020,22:32:03,E140101
46-14-89-64,18/11/2020,22:32:04,E140101
46-14-89-64,18/11/2020,22:32:47,E140101
46-14-89-64,18/11/2020,22:32:47,E140101
46-14-89-64,18/11/2020,22:32:52,E140101
46-14-89-64,18/11/2020,22:32:52,E140101
46-14-89-64,18/11/2020,22:34:13,E140101
46-14-89-64,18/11/2020,22:34:19,E140101
46-14-89-64,18/11/2020,22:49:02,E140101
46-14-89-64,18/11/2020,22:49:08,E140101
46-14-89-64,18/11/2020,22:51:09,E140101
46-14-89-64,18/11/2020,22:51:09,E140101
46-14-89-64,18/11/2020,23:14:37,admin
54-84-41-90,18/11/2020,22:02:42,E140104
54-84-41-90,18/11/2020,22:02:42,E140104
54-84-41-90,18/11/2020,22:02:42,E140104
54-84-41-90,18/11/2020,22:02:42,E140104
54-84-41-90,18/11/2020,22:02:43,E140104
54-84-41-90,18/11/2020,22:13:16,E140104
54-84-41-90,18/11/2020,22:13:16,E140104
54-84-41-90,18/11/2020,23:14:37,admin
75-48-02-01,18/11/2020,22:51:33,E140101
75-48-02-01,18/11/2020,22:51:33,E140101
75-48-02-01,18/11/2020,22:51:33,E140101
75-48-02-01,18/11/2020,22:51:33,E140101
75-48-02-01,18/11/2020,22:51:33,E140101
75-48-02-01,18/11/2020,22:53:22,E140101
75-48-02-01,18/11/2020,22:53:22,E140101
75-48-02-01,18/11/2020,22:58:07,E140101
75-48-02-01,18/11/2020,22:58:11,E140101
75-48-02-01,18/11/2020,23:00:58,E140101
75-48-02-01,18/11/2020,23:00:58,E140101
75-48-02-01,18/11/2020,23:14:37,admin
32-81-38-30,18/11/2020,23:01:08,E140101
32-81-38-30,18/11/2020,23:01:08,E140101
32-81-38-30,18/11/2020,23:01:08,E140101
32-81-38-30,18/11/2020,23:01:08,E140101
32-81-38-30,18/11/2020,23:01:08,E140101
32-81-38-30,18/11/2020,23:06:21,E140101
32-81-38-30,18/11/2020,23:06:21,E140101
32-81-38-30,18/11/2020,23:14:37,admin
33-09-39-82,18/11/2020,20:33:20,E110103
33-09-39-82,18/11/2020,20:33:20,E110103
33-09-39-82,18/11/2020,20:33:20,E110103
33-09-39-82,18/11/2020,20:33:20,E110103
33-09-39-82,18/11/2020,20:33:26,E110103
33-09-39-82,18/11/2020,20:35:27,E110103
33-09-39-82,18/11/2020,20:35:47,E110103
33-09-39-82,18/11/2020,20:38:16,E110103
33-09-39-82,18/11/2020,20:38:53,E110103
33-09-39-82,18/11/2020,20:40:26,E110103
33-09-39-82,18/11/2020,20:40:26,E110103
33-09-39-82,18/11/2020,20:41:45,E110103
33-09-39-82,18/11/2020,20:41:45,E110103
33-09-39-82,18/11/2020,20:45:01,E110103
33-09-39-82,18/11/2020,20:46:06,E110103
33-09-39-82,18/11/2020,20:50:16,E110103
33-09-39-82,18/11/2020,20:50:43,E110103
33-09-39-82,18/11/2020,20:56:57,E110103
33-09-39-82,18/11/2020,20:57:49,E110103
33-09-39-82,18/11/2020,21:00:50,E110103
33-09-39-82,18/11/2020,21:00:50,E110103
33-09-39-82,19/11/2020,00:23:14,E110103
33-09-39-82,19/11/2020,00:23:15,E110103
33-09-39-82,19/11/2020,00:25:15,E110103
33-09-39-82,19/11/2020,00:25:15,E110103
33-09-39-82,19/11/2020,00:30:14,E110103
33-09-39-82,19/11/2020,00:30:14,E110103
33-09-39-82,19/11/2020,00:30:43,E110103
33-09-39-82,19/11/2020,00:30:43,E110103
33-09-39-82,19/11/2020,01:19:10,E110103
33-09-39-82,19/11/2020,01:19:10,E110103
33-09-39-82,19/11/2020,01:20:12,E110103
33-09-39-82,19/11/2020,01:20:14,E110103
33-09-39-82,19/11/2020,01:20:28,E110103
33-09-39-82,19/11/2020,01:20:28,E110103
33-09-39-82,19/11/2020,01:24:21,E110103
