interview__key,num_prod,Productos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos
12-21-40-53,1,Pollo entero,2,2,,100,1,,5000,la merma del producto,50,1,,10,,#NULL!,#NULL!,
44-34-82-46,1,Pan,1200,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-34-82-46,2,Carne de res,96,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-34-82-46,3,Jitomate,48,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
31-42-14-83,1,Uva,10,6,cajas,5,6,cajas,500,ventas bajas,5,6,cajas,9,,#NULL!,#NULL!,
74-16-93-20,1,Ala marinada,200,1,,15,1,,600,producto no consumible,6,1,,7,,#NULL!,#NULL!,
83-07-51-12,1,Pollo entero,1000,1,,40,1,,2000,merma,20,1,,8,,#NULL!,#NULL!,
36-24-20-40,1,Jitomate,72,1,,3,1,,34,por que estaba maltratado el producto,1,1,,7,,#NULL!,#NULL!,
36-24-20-40,2,Carne de res,96,1,,4,1,,400,se desbarata a la hora de cocinar y servir,1,1,,7,,#NULL!,#NULL!,
36-24-20-40,3,Pollo,576,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
36-24-20-40,4,Huevo,432,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
25-40-36-43,1,Pollo procesado,10,2,,60,1,,1000,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
49-55-81-49,1,Pechuga de pollo,1000,1,,100,1,,10000,merma,80,1,,6,,#NULL!,#NULL!,
44-35-84-50,1,Retazo o alas,430,1,,300,1,,6000,merma mensual,20,1,,6,,#NULL!,#NULL!,
73-70-08-38,1,Aguacate,24,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-70-08-38,2,Nopal,200,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-70-08-38,3,Limón,66,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
65-87-03-22,1,Jitomate,300,1,,6,1,,350,"producto maltratado, caducidad",2,1,,8,,#NULL!,#NULL!,
65-87-03-22,2,Zanahoria,240,1,,8,1,,200,"no se vendió, caducidad",3,1,,8,,#NULL!,#NULL!,
65-87-03-22,3,Cebolla,200,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
65-87-03-22,4,Calabaza,130,1,,9,1,,250,producto maltratado,2,1,,8,,#NULL!,#NULL!,
65-87-03-22,5,Chayote,180,1,,6,1,,150,caducidad,2,1,,8,,#NULL!,#NULL!,
74-47-57-78,1,"Carnes frías, lácteos, croquetas",4000,1,,300,1,,100000,Perecederos,120,1,NA,9,,#NULL!,#NULL!,
51-20-82-41,1,"Lácteos, y carnes frías",100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
30-10-52-13,1,Tortillas,2400,1,,100,1,,1500,"ventas bajas, poca demanda",10,1,,6,,#NULL!,#NULL!,
30-10-52-13,2,Totopos,45,1,,5,1,,60,"pocas ventas, baja demanda",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
11-37-90-44,2,Jitomate,3750,1,,105,1,,1050,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
11-37-90-44,3,Tomate,150,1,,105,1,,840,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-75-91-86,1,Galletas,15,6,cajas,1,6,caja,200,caducan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-75-91-86,2,Refrescos,10,6,cajones,1,6,cajon,150,mal estado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
89-85-78-54,1,Tortilla 100%,8000,1,,500,1,,7000,Porque no se vendió,-999999999,#NULL!,,#NULL!,,#NULL!,#NULL!,
04-34-19-99,1,Carne de res,33800,1,,4680,1,,18720,No venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-63-62-43,1,Naranjas,1150,1,,360,1,,2880,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-63-62-43,2,Mandarinas,12000,1,,1260,1,,12600,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-63-62-43,3,Piña,168,6,Pieza,30,6,pieza,5040,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-34-53-08,1,Refrescos,50,6,caja,1,6,caja,100,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-34-53-08,2,Cerveza,65,6,cartón,1,6,cartón,450,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-34-53-08,3,Frituras,150,6,bolsitas,5,6,bolsitas,50,no se vende,5,6,bolsitas,9,,#NULL!,#NULL!,
20-05-46-45,1,Leche,12800,3,,35,3,,385,bolsas de leche rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
08-65-81-31,1,Mandarina,15,2,,750,1,,260,venta,750,1,,10,,#NULL!,#NULL!,
08-65-81-31,2,Plátano,260,1,,30,1,,1560,Venta y Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
08-65-81-31,3,Durazno,720,1,,2,1,,480,Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-14-01-21,1,Fresas,50,2,,5,2,,4500,se hechan a perder,2,2,,9,,#NULL!,#NULL!,
72-04-49-69,1,Legumbres,500,1,,30,1,,700,Se hecha a perder rápido y ya no se puede vender,10,1,,7,,#NULL!,#NULL!,
72-04-49-69,2,Hiervas,200,1,,10,1,,250,Se pudre con el tiempo o se deshidrata y ya no se vende,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-04-49-69,3,Frutas,500,1,,30,1,,1000,se hecha a perder muy rápido,10,1,,7,,#NULL!,#NULL!,
07-16-71-47,1,Jitomate,372,1,,120,1,,1920,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
