interview__key,num_prod,Productos,Productos_genericos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos,per_ocupado,per_ocupado2
78-29-84-61,2,Longaniza,Longaniza,400,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-29-84-61,3,Queso Oaxaca,Quesos,540,1,,24,1,,1824,"""desuero del queso """"merma""""""",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,1,Gorditas (varios guisados),Comida preparada,2500,6,Pieza,240,1,,7000,Falta de refrigeración apropiada y el cliente lo deja.,80,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,2,Desayunos (huevo),Comida preparada,640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,3,Comida corrida,Comida preparada,640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,4,Aguas frescas,Aguas frescas,1290,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,5,Jugos (frutas de temporada),Jugos (frutas de temporada),380,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,6,"Café (de grano, molido)","Café (de grano, molido)",380,6,Vasos (240 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
80-07-60-11,1,Birria,Comida preparada,20000,1,,1500,1,,12000,Echado a perder o los consumidores lo dejan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,2,Pozole,Pozole,18000,3,,1000,3,,10000,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,3,Tacos,Comida preparada,50000,1,,1300,1,,26000,clientes tiran comida,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,4,Carne asada,Comida preparada,15000,1,,500,1,,18000,no se vendió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,5,Sopes,Comida preparada,18000,1,,100,1,,2500,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
64-89-09-35,1,Tortillas,Tortillas,6000,1,,150,1,,2700,Descuido en la calibración de la máquina,150,1,,11,Los regala a un engordado de cerdos,#NULL!,#NULL!,,1,0 a 5 personas
64-89-09-35,2,Masa,Masa,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
02-22-73-77,1,Pollos rostizados,Comida preparada,547,1,,1,6,Porcentaje,100,Pocas ventas o pollo golpeado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
94-39-20-08,1,Tacos,Comida preparada,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,2,6 a 10 personas
22-69-64-75,1,Queso,Quesos,50,1,,5,1,,2000,la caducidad,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
